Domanda,Opzione A,Opzione B,Opzione C,Risposta corretta
Il “carico di incendio” è un parametro fondamentale per la progettazione della sicurezza antincendio,"Si, in particolare il “carico di incendio specifico di progetto” è fondamentale per la progettazione della resistenza al fuoco delle strutture","Si, è il parametro indicativo del rischio di incendio presente in un luogo di lavoro","Si, solo nel caso di approccio ingegneristico alla progettazione della sicurezza antincendi ","Si, in particolare il “carico di incendio specifico di progetto” è fondamentale per la progettazione della resistenza al fuoco delle strutture"
I valori del carico di incendio specifico di progetto adottati nel progetto della prevenzione incendi costituiscono un vincolo d’esercizio per le attività da svolgere all’interno della costruzione,"No, la progettazione della resistenza al fuoco non è influenzata dai valori assunti dal carico di incendio specifico di progetto","No, in generale, la gestione delle condizioni previste in fase di progetto non influisce sulla sicurezza antincendio ","Si, il mantenimento delle condizioni che hanno determinato il valore del carico di incendio specifico di progetto è un obbligo di esercizio per le attività che vengono svolte nella costruzione","Si, il mantenimento delle condizioni che hanno determinato il valore del carico di incendio specifico di progetto è un obbligo di esercizio per le attività che vengono svolte nella costruzione"
La finalità della misura Esodo (S.4) è quella di,"assicurare che gli occupanti dell’attività possano raggiungere un luogo sicuro o permanere al sicuro, autonomamente o con assistenza, prima che l’incendio determini condizioni incapacitanti negli ambiti dell’attività ove si trovano",assicurare che gli occupanti dell’attività possano raggiungere un luogo sicuro autonomamente prima che l’incendio determini condizioni incapacitanti negli ambiti dell’attività ove si trovano,assicurare che gli occupanti dell’attività possano permanere al sicuro prima che l’incendio determini condizioni incapacitanti negli ambiti dell’attività ove si trovano,"assicurare che gli occupanti dell’attività possano raggiungere un luogo sicuro o permanere al sicuro, autonomamente o con assistenza, prima che l’incendio determini condizioni incapacitanti negli ambiti dell’attività ove si trovano"
Il Sistema di Esodo è,"L’insieme delle misure di salvaguardia della vita che consentono agli occupanti di raggiungere un luogo sicuro o permanere al sicuro, autonomamente o con assistenza, prima che l’incendio determini condizioni incapacitanti negli ambiti dell’attività ove si trovano","L’insieme delle misure di salvaguardia della vita che consentono agli occupanti di raggiungere un luogo sicuro, autonomamente o con assistenza, prima che l’incendio determini il crollo delle strutture",Il percorso senza ostacoli al deflusso che consente agli occupanti di raggiungere un luogo sicuro dal luogo in cui si trovano,"L’insieme delle misure di salvaguardia della vita che consentono agli occupanti di raggiungere un luogo sicuro o permanere al sicuro, autonomamente o con assistenza, prima che l’incendio determini condizioni incapacitanti negli ambiti dell’attività ove si trovano"
"Nell’ambito dell’organizzazione del sistema di esodo, per “Luogo sicuro” intendiamo",Un luogo in cui è temporaneamente trascurabile il rischio d’incendio per gli occupanti che vi stazionano o vi transitano durante l’esodo,Un luogo in cui è permanentemente trascurabile il rischio d’incendio per gli occupanti che vi stazionano o vi transitano; ,"Uno spazio a “cielo libero” (cortile, ….)",Un luogo in cui è permanentemente trascurabile il rischio d’incendio per gli occupanti che vi stazionano o vi transitano; 
"Nell’ambito dell’organizzazione del sistema di esodo, per “Luogo sicuro temporaneo” intendiamo",Un luogo in cui è temporaneamente trascurabile il rischio d’incendio per gli occupanti che vi stazionano o vi transitano durante l’esodo,Un luogo in cui è permanentemente trascurabile il rischio d’incendio per gli occupanti che vi stazionano o vi transitano; ,"Uno spazio a “cielo libero” (cortile, ….)",Un luogo in cui è temporaneamente trascurabile il rischio d’incendio per gli occupanti che vi stazionano o vi transitano durante l’esodo
"Nell’ambito dell’organizzazione del sistema di esodo, per “spazio calmo” intendiamo",Uno spazio a “cielo libero”,Un luogo in cui è permanentemente trascurabile il rischio d’incendio per gli occupanti che vi stazionano o vi transitano; ,luogo sicuro temporaneo ove gli occupanti possono attendere e ricevere assistenza per completare l’esodo verso luogo sicuro,luogo sicuro temporaneo ove gli occupanti possono attendere e ricevere assistenza per completare l’esodo verso luogo sicuro
"Nell’ambito dell’organizzazione del sistema di esodo, per “via di esodo” intendiamo","Un qualunque percorso, a prescindere dalla geometria, che adduce dall’interno dell’edificio all’esterno","Un percorso a prova di fumo rispetto al compartimento servito, che adduce dall’interno all’esterno ","Un percorso senza ostacoli al deflusso, appartenente al sistema d’esodo, che consente agli occupanti di raggiungere un luogo sicuro dal luogo in cui si trovano","Un percorso senza ostacoli al deflusso, appartenente al sistema d’esodo, che consente agli occupanti di raggiungere un luogo sicuro dal luogo in cui si trovano"
"Nell’ambito dell’organizzazione del sistema di esodo, per “corridoio cieco” intendiamo",Una porzione di via d’esodo da cui è possibile l’esodo in un’unica direzione,Una porzione di via d’esodo nella quale non sono realizzate aperture di aerazione e illuminazione naturale,"Un percorso senza ostacoli al deflusso, appartenente al sistema d’esodo, che consente agli occupanti di raggiungere un luogo sicuro dal luogo in cui si trovano",Una porzione di via d’esodo da cui è possibile l’esodo in un’unica direzione
"Nell’ambito dell’organizzazione del sistema di esodo, le modalità di esodo da un’opera di costruzione possono essere diverse","Si, esodo simultaneo, esodo per fasi, esodo orizzontale progressivo ovvero protezione sul posto","No, in caso di incendio gli occupanti devono spostarti obbligatoriamente tutti verso un luogo sicuro","No, in caso di incendio gli occupanti devono spostarti obbligatoriamente tutti dal compartimento di primo innesco in un compartimento adiacente ","Si, esodo simultaneo, esodo per fasi, esodo orizzontale progressivo ovvero protezione sul posto"
"Nell’ambito dell’organizzazione del sistema di esodo, l’ “esodo simultaneo” da un’opera di costruzione è",modalità di esodo che prevede lo spostamento contemporaneo degli occupanti fino a luogo sicuro.,"modalità di esodo di una struttura organizzata con più compartimenti, in cui l’evacuazione degli occupanti fino a luogo sicuro avviene in successione dopo l’evacuazione del compartimento di primo innesco",modalità di esodo che prevede lo spostamento degli occupanti dal compartimento di primo innesco in un compartimento adiacente capace di contenerli e proteggerli fino a quando l’incendio non sia estinto o fino a che non si proceda ad una successiva evacuazione fino a luogo sicuro,modalità di esodo che prevede lo spostamento contemporaneo degli occupanti fino a luogo sicuro.
"Nell’ambito dell’organizzazione del sistema di esodo, l’“esodo per fasi” da un’opera di costruzione è",modalità di esodo che prevede lo spostamento contemporaneo degli occupanti fino a luogo sicuro.,"modalità di esodo di una struttura organizzata con più compartimenti, in cui l’evacuazione degli occupanti fino a luogo sicuro avviene in successione dopo l’evacuazione del compartimento di primo innesco",modalità di esodo che prevede lo spostamento degli occupanti dal compartimento di primo innesco in un compartimento adiacente capace di contenerli e proteggerli fino a quando l’incendio non sia estinto o fino a che non si proceda ad una successiva evacuazione fino a luogo sicuro,"modalità di esodo di una struttura organizzata con più compartimenti, in cui l’evacuazione degli occupanti fino a luogo sicuro avviene in successione dopo l’evacuazione del compartimento di primo innesco"
"Nell’ambito dell’organizzazione del sistema di esodo, l’“esodo orizzontale progressivo” da un’opera di costruzione è",modalità di esodo che prevede lo spostamento contemporaneo degli occupanti fino a luogo sicuro.,"modalità di esodo di una struttura organizzata con più compartimenti, in cui l’evacuazione degli occupanti fino a luogo sicuro avviene in successione dopo l’evacuazione del compartimento di primo innesco",modalità di esodo che prevede lo spostamento degli occupanti dal compartimento di primo innesco in un compartimento adiacente capace di contenerli e proteggerli fino a quando l’incendio non sia estinto o fino a che non si proceda ad una successiva evacuazione fino a luogo sicuro,modalità di esodo che prevede lo spostamento degli occupanti dal compartimento di primo innesco in un compartimento adiacente capace di contenerli e proteggerli fino a quando l’incendio non sia estinto o fino a che non si proceda ad una successiva evacuazione fino a luogo sicuro
"Nell’ambito dell’organizzazione del sistema di esodo, la “protezione sul posto” è",modalità di esodo che prevede lo spostamento contemporaneo degli occupanti fino a luogo sicuro.,"modalità di esodo di una struttura organizzata con più compartimenti, in cui l’evacuazione degli occupanti fino a luogo sicuro avviene in successione dopo l’evacuazione del compartimento di primo innesco",modalità di esodo che prevede la protezione degli occupanti nell’ambito in cui si trovano,modalità di esodo che prevede la protezione degli occupanti nell’ambito in cui si trovano
Una pubblica via può essere qualificata come “luogo sicuro” ai fini dell’esodo,"Non sempre, dipende dalla larghezza della via","No, mai","Si, sempre","Si, sempre"
Uno “spazio a cielo libero” può essere qualificato come “luogo sicuro” ai fini dell’esodo,"Si, se è collegato ad una pubblica via in ogni condizione di incendio e nel quale siano garantita la protezione delle persone dai prodotti della combustione, dal pericolo di crolli e sia di ampiezza sufficiente e contenere gli occupanti che lo impiegano nell’esodo","No, mai","Si, è sufficiente che sia collegato ad una pubblica via","Si, se è collegato ad una pubblica via in ogni condizione di incendio e nel quale siano garantita la protezione delle persone dai prodotti della combustione, dal pericolo di crolli e sia di ampiezza sufficiente e contenere gli occupanti che lo impiegano nell’esodo"
"Nell’ambito dell’organizzazione del sistema di esodo, possono essere considerate ed utilizzate le scale portatili, gli ascensori e le rampe con grande pendenza (superior a 20 %)","Si, sempre a condizione che il loro utilizzo sia indicato nel piano di emergenza ","No, ","Si, se la gestione dell’emergenza prevede una specifica struttura di supporto","No, "
"Le superfici dei percorsi individuati come vie di esodo (corridoi, scale, androni, …) devono garantire specifici requisiti ","Si, non devono essere sdrucciolevoli, né presentare avvallamenti o sporgenze pericolose e devono essere in condizioni tali da rendere sicuro il movimento ed il transito degli occupanti","No, è sufficiente che i percorsi di esodo adducono all’esterno, a prescindere dalle caratteristiche delle superfici","No, è sufficiente che siano in condizioni tali da rendere sicuro il movimento ed il transito degli occupanti","Si, non devono essere sdrucciolevoli, né presentare avvallamenti o sporgenze pericolose e devono essere in condizioni tali da rendere sicuro il movimento ed il transito degli occupanti"
Le porte installate lungo le vie di esodo devono garantire specifici requisiti ,"Si, devono essere facilmente identificabili ed apribili da parte di tutti gli occupanti e l’apertura delle porte non deve ostacolare il deflusso degli occupanti lungo le vie d’esodo","No, è sufficiente che siano solo identificabili","No, è sufficiente che siano apribili da parte di tutti gli occupanti","Si, devono essere facilmente identificabili ed apribili da parte di tutti gli occupanti e l’apertura delle porte non deve ostacolare il deflusso degli occupanti lungo le vie d’esodo"
"Le porte ad apertura manuale installate lungo le vie di esodo, in condizioni di elevata densità di affollamento, devono garantire specifici requisiti ","Si,  devono essere dotate di dispositivi di apertura a semplice spinta per consentire l’affidabile, immediata e semplice apertura delle porte","No, è sufficiente che siano solo identificabili con specifica segnaletica","No, è sufficiente che siano dotate di una maniglia funzionante","Si,  devono essere dotate di dispositivi di apertura a semplice spinta per consentire l’affidabile, immediata e semplice apertura delle porte"
Il sistema di esodo deve essere facilmente riconosciuto e identificabile dagli occupanti,"Si, sempre mediante apposita segnaletica di sicurezza ","No, è sufficiente che le vie di esodo siano indicate nelle planimetrie semplificate affisse ai piani","No, solo nei luoghi con elevata densità di affollamento","Si, sempre mediante apposita segnaletica di sicurezza "
Ai fini dell’identificazione degli elementi del sistema di esodo con il seguente cartello intendiamo,"Luogo sicuro, punto di ritrovo","Spazio calmo, per attendere i soccorritori",Via di esodo,"Luogo sicuro, punto di ritrovo"
Ai fini dell’identificazione degli elementi del sistema di esodo con il seguente cartello intendiamo,"Luogo sicuro, punto di ritrovo","Spazio calmo, attesa dei soccorritori",Via di esodo,"Spazio calmo, attesa dei soccorritori"
Ai fini dell’identificazione degli elementi del sistema di esodo con il seguente cartello intendiamo,"Luogo sicuro, punto di ritrovo","Spazio calmo, attesa dei soccorritori",Via di esodo,Via di esodo
Ai fini dell’identificazione degli elementi del sistema di esodo con il seguente cartello intendiamo,"Luogo sicuro, punto di ritrovo","Spazio calmo, attesa dei soccorritori",Via di esodo verso spazio clamo,Via di esodo verso spazio clamo
Lungo le vie di esodo deve essere installato un impianto di illuminazione di sicurezza,"Si, sempre qualora l’illuminazione possa risultare anche occasionalmente insufficiente a consentire l’esodo degli occupanti.","No, mai","No, solo nei luoghi con elevata densità di affollamento","Si, sempre qualora l’illuminazione possa risultare anche occasionalmente insufficiente a consentire l’esodo degli occupanti."
"Negli ambiti ove l’attività sia svolta con assente o ridotta illuminazione ordinaria (es. sale cinematografiche, sale teatrali, …) eventuali gradini lungo le vie d’esodo devono essere provvisti di illuminazione","Si, sempre con idonea illuminazione “segnapasso” dei gradini","No, mai","No, solo nei luoghi con affollamento superiore a 1000 persone","Si, sempre con idonea illuminazione “segnapasso” dei gradini"
"Il sistema d’esodo in un’attività lavorativa, al fine di limitare la probabilità che agli occupanti sia impedita l’evacuazione dall’incendio, il numero minimo di vie d’esodo e uscite indipendenti da ciascun locale deve essere specificamente progettato","Si, in funzione del rischio di incendio e dell’affollamento","Si, in funzione del rischio di incendio","No, è sufficiente che ci siano almeno due uscite da ogni compartimento per garantire un corretto ed efficace esodo","Si, in funzione del rischio di incendio e dell’affollamento"
"Le vie di esodo previste in un luogo di lavoro devono essere di lunghezza limitata, in funzione del rischio di incendio dell’attività","Si, a seconda delle condizioni di rischio dell’attività hanno lunghezze consentite differenti","No, solo i corridoi ciechi devono rispettare dei limiti di lunghezza massima in funzione del rischio di incendio","No, le lunghezze delle vie di esodo, compresi i corridoi ciechi, possono essere di qualunque valore a prescindere dal rischio dell’attività","Si, a seconda delle condizioni di rischio dell’attività hanno lunghezze consentite differenti"
"Gli eventuali corridoi ciechi presenti in un luogo di lavoro devono essere di lunghezza limitata, in funzione del rischio di incendio dell’attività","Si, a seconda delle condizioni di rischio dell’attività","No, le lunghezze devono essere limitate solo in presenza di elevati affollamenti","No, le lunghezze delle vie di esodo, compresi i corridoi ciechi, possono essere di qualunque valore a prescindere dal rischio dell’attività","Si, a seconda delle condizioni di rischio dell’attività"
"In un luogo con affollamento dell’ambito servito maggiore di 1000 occupanti, la larghezza della via di esodo orizzontale deve essere maggiore o uguale a 1200 mm (1,2 m)","Si, a prescindere dal numero di vie di esodo disponibili","No, la larghezza è definita dal progettista sulla base dell’affollamento e del numero di uscite","Si, solo se in presenza di percorso di esodo unidirezionale (corridoio cieco)","Si, a prescindere dal numero di vie di esodo disponibili"
In un sistema di esodo sono consentite larghezze minime delle vie di esodo orizzontali maggiori o uguali a 800 mm (80 cm),"Si, a condizione che l’affollamento dell’ambito servito non sia elevato, massimo 50 occupanti","No, mai, le vie di esodo devono essere sempre almeno uguali o maggiori di 1,20 m, a prescindere dall’affollamento","Si, solo se in presenza di percorso di esodo alternativi","Si, a condizione che l’affollamento dell’ambito servito non sia elevato, massimo 50 occupanti"
"In un luogo con affollamento dell’ambito servito maggiore di 1000 occupanti, la larghezza della via di esodo verticali deve essere maggiore o uguale a 1200 mm (1,20 m)","Si, a prescindere dal numero di vie di esodo disponibili","No, la larghezza è definita dal progettista sulla base dell’affollamento e del numero di uscite","Si, solo se in presenza di percorso di esodo unidirezionale (corridoio cieco)","Si, a prescindere dal numero di vie di esodo disponibili"
In un sistema di esodo sono consentite larghezze minime delle vie di esodo verticali maggiori o uguali a 900 mm (90 cm),"Si, a condizione che l’affollamento dell’ambito servito non sia molto elevato, massimo 300 occupanti","No, mai, le vie di esodo devono essere sempre almeno uguali o maggiori di 1,20 m, a prescindere dall’affollamento","Si, solo se in presenza di percorso di esodo alternativi","Si, a condizione che l’affollamento dell’ambito servito non sia molto elevato, massimo 300 occupanti"
Le vie di esodo devono avere un’altezza minima di 2 metri,"Si, ad eccezione di brevi tratti segnalati di vie di esodo utilizzabili esclusivamente da personale specificamente formato ovvero utilizzate occasionalmente da un numero limitato di occupanti","No, l’altezza la stabilisce il progettista sulla base della valutazione del rischio","Si, solo se in presenza di elevati affollamenti","Si, ad eccezione di brevi tratti segnalati di vie di esodo utilizzabili esclusivamente da personale specificamente formato ovvero utilizzate occasionalmente da un numero limitato di occupanti"
"Nella progettazione del sistema di esodo, in caso di piani nei quali vi può essere presenza non occasionale di occupanti che non abbiano sufficienti abilità per raggiungere autonomamente un luogo sicuro tramite vie di esodo verticali devono essere adottate specifiche modalità di gestione dell’esodo:","Si, deve essere adottata almeno una delle seguenti modalità: spazi calmi, esodo orizzontale progressivo o esodo orizzontale verso luogo sicuro","No, il progettista può decidere di organizzare l’esodo mediante squadre appositamente dedicate alle persone che non abbiano sufficienti abilità per raggiungere autonomamente un luogo sicuro tramite vie di esodo verticali","No, solo se prescritte dai vigili del fuoco","Si, deve essere adottata almeno una delle seguenti modalità: spazi calmi, esodo orizzontale progressivo o esodo orizzontale verso luogo sicuro"
"La misura antincendio “Rilevazione ed allarme” ha come obiettivo la sorveglianza degli ambiti di un’attività, rilevare precocemente un incendio e diffondere l’allarme al fine di","attivare le misure protettive (es. impianti automatici estinzione, ripristino della compartimentazione, evacuazione di fumi e calore, …);","attivare le misure gestionali (es. piano e procedure di emergenza e di esodo, …) progettate e programmate in relazione all’incendio rivelato ed all’ambito ove tale principio di incendio si è sviluppato rispetto all’intera attività sorvegliata",Attivare sia le misure protettive sia le misure gestionali indicate negli altri due punti,Attivare sia le misure protettive sia le misure gestionali indicate negli altri due punti
Gli impianti di rivelazione incendio e segnalazione allarme incendio (IRAI) sono,"Impianti in grado di rivelare un incendio quanto prima possibile e di segnalare l’allarme al fine di attivare le misure antincendio tecniche (impianti automatici di controllo o estinzione dell’incendio, compartimentazione, evacuazione dei fumi e del calore, …) e procedurali (piano e procedure di emergenza e di esodo, …)","Impianti in grado di rivelare un incendio quanto prima possibile e di segnalare l’allarme al fine di attivare le misure antincendio tecniche (impianti automatici di controllo o estinzione dell’incendio, compartimentazione, evacuazione dei fumi e del calore, …)","Impianti in grado di rivelare un incendio quanto prima possibile e di segnalare l’allarme al fine di attivare le misure procedurali (piano e procedure di emergenza e di esodo, …)","Impianti in grado di rivelare un incendio quanto prima possibile e di segnalare l’allarme al fine di attivare le misure antincendio tecniche (impianti automatici di controllo o estinzione dell’incendio, compartimentazione, evacuazione dei fumi e del calore, …) e procedurali (piano e procedure di emergenza e di esodo, …)"
La rivelazione e la diffusione dell’allarme incendio possono essere demandate solo alla sorveglianza da parte degli occupanti,"Si, ove valutazione del rischio non evidenzi particolari e significativi rischi di incendio, a condizione che siano codificate idonee procedure finalizzate al rapido e sicuro allertamento degli occupanti in caso di incendio, da inserire nel piano di emergenza","No, mai","Si, solo se l’affollamento non supera i 10 occupanti","Si, ove valutazione del rischio non evidenzi particolari e significativi rischi di incendio, a condizione che siano codificate idonee procedure finalizzate al rapido e sicuro allertamento degli occupanti in caso di incendio, da inserire nel piano di emergenza"
I punti di segnalazione manuale a servizio di un Impianto di Rilevazione e Allarme Incendio (IRAI),"devono essere raggiungibili mediante percorsi di lunghezza limitata, individuati in relazione al rischio incendio",devono essere posti in corrispondenza dell’uscita di esodo principale,devono essere posti nella zona dove lavora il coordinatore degli addetti antincendio,"devono essere raggiungibili mediante percorsi di lunghezza limitata, individuati in relazione al rischio incendio"
I punti di segnalazione manuale a servizio di un Impianto di Rilevazione e Allarme Incendio (IRAI),devono essere installati in posizione ben visibile e segnalata ed essere facilmente accessibili,devono essere posti in corrispondenza dell’uscita di esodo principale,devono essere posti nella zona dove lavora il coordinatore degli addetti antincendio,devono essere installati in posizione ben visibile e segnalata ed essere facilmente accessibili
"I punti di segnalazione manuale a servizio di un Impianto di Rilevazione e Allarme Incendio (IRAI), per consentire a tutti gli occupanti, anche a quelli che impiegano ausili di movimento, di inviare l’allarme d’incendio",dovrebbero essere collocati ad una quota dal piano di calpestio che ne permetta il facile raggiungimento.,"dovrebbero essere collocati solamente negli eventuali spazi calmi, se previsti.",dovrebbero essere collocati ad una quota non superiore di 50 cm dal piano di calpestio.,dovrebbero essere collocati ad una quota dal piano di calpestio che ne permetta il facile raggiungimento.
La progettazione della misura antincendio “Controllo Fumo e Calore” ha come scopo,l’individuazione dei presidi antincendio da installare nell’attività per consentire solo l’evacuazione o lo smaltimento dei prodotti della combustione in caso di incendio,"l’individuazione dei presidi antincendio da installare nell’attività per consentire il controllo, l’evacuazione o lo smaltimento dei prodotti della combustione in caso di incendio",l’individuazione dei presidi antincendio da installare nell’attività per consentire solo il controllo dei prodotti della combustione in caso di incendio,"l’individuazione dei presidi antincendio da installare nell’attività per consentire il controllo, l’evacuazione o lo smaltimento dei prodotti della combustione in caso di incendio"
Il “Controllo Fumo e Calore” si attua attraverso la realizzazione di:,"aperture di smaltimento di fumo e calore d’emergenza, sistemi di ventilazione orizzontale forzata del fumo e del calore (SVOF) e sistemi per l’evacuazione di fumo e calore (SEFC) ","Solo attraverso smaltimento di fumo e calore d’emergenza, sistemi di ventilazione orizzontale forzata del fumo e del calore (SVOF)",Solo attraverso sistemi per l’evacuazione di fumo e calore (SEFC),"aperture di smaltimento di fumo e calore d’emergenza, sistemi di ventilazione orizzontale forzata del fumo e del calore (SVOF) e sistemi per l’evacuazione di fumo e calore (SEFC) "
"Lo smaltimento di fumo e calore di emergenza verso l’esterno di un edificio può essere realizzato per mezzo di aperture già ordinariamente disponibili per la funzionalità dell’attività (es. finestre, lucernari, porte, …)",Si ,"No, solo attraverso sistemi di ventilazione orizzontale forzata del fumo e del calore (SVOF)","No, solo attraverso specifici sistemi per l’evacuazione di fumo e calore (SEFC)",Si 
Le aperture di smaltimento realizzate per lo smaltimento dei fumi e calore di emergenza devono essere gestite e in particolare protette dall’ostruzione accidentale durante l’esercizio dell’attività,"Si, sempre in quanto sono parte integrante di una misura antincendio progettata per mitigare il rischio incendio dell’attività","No, perché in caso di emergenza l’ostruzione può essere sempre eliminata","No, perché la realizzazione delle aperture di smaltimento dei fumi e calore di emergenza sono una misura consigliata ma non necessaria ai fini della sicurezza antincendio di un’attività","Si, sempre in quanto sono parte integrante di una misura antincendio progettata per mitigare il rischio incendio dell’attività"
Lo smaltimento di fumo e calore d’emergenza ha la sola funzione di facilitare l’opera di estinzione dei soccorritori,"Si, ","No, anche di garantire che le vie di esodo siano libere dai prodotti della combustione durante l’evacuazione","No, hanno lo scopo di impedire la realizzazione delle condizioni di flash over (incendio generalizzato)","Si, "
Le aperture di smaltimento individuate nella progettazione dello smaltimento di fumo e calore d’emergenza possono essere solo di tipo “permanentemente aperte” ,"No, fatte salve particolari condizioni di elevati carichi di incendio, possono essere anche di altra tipologia: aperture dotate di sistema automatico di apertura (attivazione da impianto di rivelazione e allarme incendio), con infissi comandati da posizione protetta e segnalata, con infissi comandanti da posizione non protetta, con chiusura bassofondente (policarbonato, PMMA,…) o con possibilità di immediata demolizione da parte delle squadre di soccorso","Si, in alternativa si deve realizzare un impianto automatico di estrazione fumi e calore","No, in alternativa possono essere istallate solo aperture dotate di sistema automatico di apertura (attivazione da impianto di rivelazione e allarme incendio)","No, fatte salve particolari condizioni di elevati carichi di incendio, possono essere anche di altra tipologia: aperture dotate di sistema automatico di apertura (attivazione da impianto di rivelazione e allarme incendio), con infissi comandati da posizione protetta e segnalata, con infissi comandanti da posizione non protetta, con chiusura bassofondente (policarbonato, PMMA,…) o con possibilità di immediata demolizione da parte delle squadre di soccorso"
Le aperture di smaltimento individuate nella progettazione dello smaltimento di fumo e calore d’emergenza devono essere uniformemente distribuite nel compartimento servito e preferibilmente poste nella porzione superiore dei locali,"Si, al fine di facilitare lo smaltimento dei fumi e gas caldi","No, è sufficiente che ci siano aperture di superficie adeguata, a prescindere dalla posizione","No, è preferibile che le aperture siano nella porzione inferiore dei locali","Si, al fine di facilitare lo smaltimento dei fumi e gas caldi"
"I Sistemi di ventilazione forzata orizzontale del fumo e del calore (SVOF), svolgono la funzione di smaltimento di fumo e calore d’emergenza","Si, come le aperture di smaltimento, possono facilitare l’opera di estinzione dei soccorritori, fornendo condizioni favorevoli per le squadre di soccorso da un punto di accesso sino alla posizione dell’incendio","No, hanno lo scopo di garantire, per un determinato intervallo di tempo, un’adeguata altezza libera dai fumi in caso di incendio nel compartimento di innesco","No, hanno lo scopo di impedire, per un determinato intervallo di tempo, la formazione delle condizioni di “flash over” (incendio generalizzato) nel compartimento di innesco","Si, come le aperture di smaltimento, possono facilitare l’opera di estinzione dei soccorritori, fornendo condizioni favorevoli per le squadre di soccorso da un punto di accesso sino alla posizione dell’incendio"
I Sistemi di evacuazione del fumo e del calore (SEFC),creano e mantengono uno strato d’aria sostanzialmente indisturbato nella porzione inferiore dell’ambiente protetto mediante l’evacuazione di fumo e calore prodotti dall’incendio,"hanno lo scopo di facilitare l’opera di estinzione dei soccorritori, fornendo condizioni favorevoli per le squadre di soccorso da un punto di accesso sino alla posizione dell’incendio","hanno lo scopo agevolare lo smaltimento di fumo e calore dall’attività dopo l’incendio, ripristinando rapidamente le condizioni di sicurezza.",creano e mantengono uno strato d’aria sostanzialmente indisturbato nella porzione inferiore dell’ambiente protetto mediante l’evacuazione di fumo e calore prodotti dall’incendio
"I Sistemi di evacuazione del fumo e del calore (SEFC), fra i diversi obiettivi, hanno anche quello di mantenere le vie di esodo libere da fumo e calore","Si, poiché creano e mantengono uno strato d’aria sostanzialmente indisturbato nella porzione inferiore dell’ambiente protetto mediante l’evacuazione di fumo e calore prodotti dall’incendio","No, hanno solo lo scopo di facilitare l’opera di estinzione dei soccorritori, fornendo condizioni favorevoli per le squadre di soccorso da un punto di accesso sino alla posizione dell’incendio","No, hanno solo lo scopo agevolare lo smaltimento di fumo e calore dall’attività dopo l’incendio, ripristinando rapidamente le condizioni di sicurezza.","Si, poiché creano e mantengono uno strato d’aria sostanzialmente indisturbato nella porzione inferiore dell’ambiente protetto mediante l’evacuazione di fumo e calore prodotti dall’incendio"
"I Sistemi di evacuazione del fumo e del calore (SEFC), fra i diversi obiettivi, hanno anche quello di ritardare o prevenire il flashover e quindi la generalizzazione dell’incendio","Si, poiché creano e mantengono uno strato d’aria sostanzialmente indisturbato nella porzione inferiore dell’ambiente protetto mediante l’evacuazione di fumo e calore prodotti dall’incendio","No, hanno solo lo scopo di facilitare l’opera di estinzione dei soccorritori, fornendo condizioni favorevoli per le squadre di soccorso da un punto di accesso sino alla posizione dell’incendio","No, hanno solo lo scopo agevolare lo smaltimento di fumo e calore dall’attività dopo l’incendio, ripristinando rapidamente le condizioni di sicurezza.","Si, poiché creano e mantengono uno strato d’aria sostanzialmente indisturbato nella porzione inferiore dell’ambiente protetto mediante l’evacuazione di fumo e calore prodotti dall’incendio"
"I Sistemi di evacuazione del fumo e del calore (SEFC), fra i diversi obiettivi, hanno anche quello di limitare i danni agli impianti di servizio o di processo ed al contenuto dell’ambito protetto","Si, poiché creano e mantengono uno strato d’aria sostanzialmente indisturbato nella porzione inferiore dell’ambiente protetto mediante l’evacuazione di fumo e calore prodotti dall’incendio","No, hanno solo lo scopo di facilitare l’opera di estinzione dei soccorritori, fornendo condizioni favorevoli per le squadre di soccorso da un punto di accesso sino alla posizione dell’incendio","No, hanno solo lo scopo agevolare lo smaltimento di fumo e calore dall’attività dopo l’incendio, ripristinando rapidamente le condizioni di sicurezza.","Si, poiché creano e mantengono uno strato d’aria sostanzialmente indisturbato nella porzione inferiore dell’ambiente protetto mediante l’evacuazione di fumo e calore prodotti dall’incendio"
"I Sistemi di evacuazione del fumo e del calore (SEFC), fra i diversi obiettivi, hanno anche quello di ridurre gli effetti termici sulle strutture dell’ambiente protetto","Si, poiché creano e mantengono uno strato d’aria sostanzialmente indisturbato nella porzione inferiore dell’ambiente protetto mediante l’evacuazione di fumo e calore prodotti dall’incendio","No, hanno solo lo scopo di facilitare l’opera di estinzione dei soccorritori, fornendo condizioni favorevoli per le squadre di soccorso da un punto di accesso sino alla posizione dell’incendio","No, hanno solo lo scopo agevolare lo smaltimento di fumo e calore dall’attività dopo l’incendio, ripristinando rapidamente le condizioni di sicurezza.","Si, poiché creano e mantengono uno strato d’aria sostanzialmente indisturbato nella porzione inferiore dell’ambiente protetto mediante l’evacuazione di fumo e calore prodotti dall’incendio"
"I Sistemi di evacuazione del fumo e del calore (SEFC), possono essere di tipo naturale (SENFC) o forzato (SEFFC).","Si, ","No, solo di tipo naturale (SEFNC)","No, solo di tipo forzato (SEFFC)","Si, "
